a,ə
bobby,ˈbɑbi
boc,boc*
bodies,ˈbɑdiz
body,ˈbɑdi
bold,boʊld
bolivia,bəˈlɪviə
bolt,boʊlt
bomb,bɔm
bon,bɑn
bond,bɑnd
bondage,ˈbɑndɪʤ
bonds,bɑndz
bone,boʊn
bones,boʊnz
bonus,ˈboʊnəs
boob,bub
boobs,bubz
book,bʊk
booking,ˈbʊkɪŋ
bookings,ˈbʊkɪŋz
bookmark,ˈbʊkmɑrk
bookmarks,ˈbʊkmɑrks
books,bʊks
bookstore,ˈbʊkˌstɔr
bool,bool*
boolean,buˈliən
boom,bum
boost,bust
boot,but
booth,buθ
boots,buts
booty,ˈbuti
border,ˈbɔrdər
borders,ˈbɔrdərz
bored,bɔrd
boring,ˈbɔrɪŋ
born,bɔrn
borough,bəroʊ
bosnia,ˈbɑzniə
boss,bɔs
boston,ˈbɔstən
both,boʊθ
bother,ˈbɑðər
botswana,bɑtsˈwɑnə
bottle,ˈbɑtəl
bottles,ˈbɑtəlz
bottom,ˈbɑtəm
bought,bɔt
boulder,ˈboʊldər
boulevard,ˈbʊləˌvɑrd
bound,baʊnd
boundaries,ˈbaʊndəriz
boundary,ˈbaʊndəri
bouquet,buˈkeɪ
boutique,buˈtik
bow,boʊ
bowl,boʊl
bowling,ˈboʊlɪŋ
box,bɑks
boxed,bɑkst
boxes,ˈbɑksɪz
boxing,ˈbɑksɪŋ
boy,bɔɪ
boys,bɔɪz
bp,bp*
br,br*
bra,brɑ
bracelet,ˈbreɪslət
bracelets,ˈbreɪslɪts
bracket,ˈbrækɪt
brad,bræd
bradford,ˈbrædfərd
bradley,ˈbrædli
brain,breɪn
brake,breɪk
brakes,breɪks
branch,brænʧ
branches,ˈbrænʧɪz
brand,brænd
brandon,ˈbrændən
brands,brændz
bras,brɑs
brass,bræs
brave,breɪv
brazil,brəˈzɪl
brazilian,brəˈzɪljən
breach,briʧ
bread,brɛd
break,breɪk
breakdown,ˈbreɪkˌdaʊn
breakfast,ˈbrɛkfəst
breaking,ˈbreɪkɪŋ
breaks,breɪks
breast,brɛst
breasts,brɛsts
breath,brɛθ
breathing,ˈbriðɪŋ
breed,brid
breeding,ˈbridɪŋ
breeds,bridz
brian,braɪən
brick,brɪk
bridal,ˈbraɪdəl
bride,braɪd
bridge,brɪʤ
bridges,ˈbrɪʤɪz
brief,brif
briefing,ˈbrifɪŋ
briefly,ˈbrifli
briefs,brifs
bright,braɪt
brighton,ˈbraɪtən
brilliant,ˈbrɪljənt
bring,brɪŋ
bringing,ˈbrɪŋɪŋ
brings,brɪŋz
brisbane,ˈbrɪzˌbeɪn
bristol,ˈbrɪstəl
britain,ˈbrɪtən
britannica,brɪˈtænɪkə
british,ˈbrɪtɪʃ
britney,ˈbrɪtˌni
broad,brɔd
broadband,ˈbrɔdˌbænd
broadcast,ˈbrɔdˌkæst
broadcasting,ˈbrɔdˌkæstɪŋ
broader,ˈbrɔdər
broadway,ˈbrɔdˌweɪ
brochure,broʊˈʃʊr
brochures,broʊˈʃʊrz
broke,broʊk
broken,ˈbroʊkən
broker,ˈbroʊkər
brokers,ˈbroʊkərz
bronze,brɑnz
brook,brʊk
brooklyn,ˈbrʊklɪn
brooks,brʊks
bros,bros*
brother,ˈbrəðər
brothers,ˈbrəðərz
brought,brɔt
brown,braʊn
browse,braʊz
browser,ˈbraʊzər
browsers,ˈbraʊzərz
browsing,ˈbraʊzɪŋ
bruce,brus
brunei,bruˈnaɪ
brunette,bruˈnɛt
brunswick,ˈbrənzwɪk
brush,brəʃ
brussels,ˈbrəsəlz
brutal,ˈbrutəl
bryan,braɪən
bryant,braɪənt
bs,bs*
bt,ˈbiˈti
bubble,ˈbəbəl
buck,bək
bucks,bəks
budapest,ˈbudəˌpɛʃt
buddy,ˈbədi
budget,ˈbəʤɪt
budgets,ˈbəʤɪts
buf,buf*
buffalo,ˈbəfəˌloʊ
buffer,ˈbəfər
bufing,bufing*
bug,bəg
bugs,bəgz
build,bɪld
builder,ˈbɪldər
builders,ˈbɪldərz
building,ˈbɪldɪŋ
buildings,ˈbɪldɪŋz
builds,bɪldz
built,bɪlt
bukkake,bukkake*
bulgaria,bəlˈgɛriə
bulgarian,bəlˈgɛriən
bulk,bəlk
bull,bʊl
bullet,ˈbʊlət
bulletin,ˈbʊlɪtən
bumper,ˈbəmpər
bunch,bənʧ
bundle,ˈbəndəl
bunny,ˈbəni
burden,ˈbərdən
bureau,ˈbjʊroʊ
buried,ˈbɛrid
burke,bərk
burlington,ˈbərlɪŋtən
burn,bərn
burner,ˈbərnər
burning,ˈbərnɪŋ
burns,bərnz
burst,bərst
burton,ˈbərtən
bus,bəs
buses,ˈbəsɪz
bush,bʊʃ
business,ˈbɪznɪs
businesses,ˈbɪznɪsɪz
busty,ˈbəsti
busy,ˈbɪzi
but,bət
butler,ˈbətlər
butt,bət
butter,ˈbətər
butterfly,ˈbətərˌflaɪ
button,ˈbətən
buttons,ˈbətənz
butts,bəts
buy,baɪ
buyer,baɪər
buyers,baɪərz
buying,baɪɪŋ
buys,baɪz
buzz,bəz
bw,bw*
by,baɪ
bye,baɪ
byte,baɪt
bytes,baɪts
c,si
ca,ˈsiˈeɪ
cab,kæb
cabin,ˈkæbən
cabinet,ˈkæbənət
cabinets,ˈkæbənəts
cable,ˈkeɪbəl
cables,ˈkeɪbəlz
cache,kæˈʃeɪ
cached,kæʃt
cad,kæd
cadillac,ˈkædəˌlæk
cafe,kəˈfeɪ
cage,keɪʤ
cake,keɪk
cakes,keɪks
cal,kæl
calcium,ˈkælsiəm
calculate,ˈkælkjəˌleɪt
calculated,ˈkælkjəˌleɪtɪd
calculation,ˌkælkjəˈleɪʃən
calculations,ˌkælkjəˈleɪʃənz
calculator,ˈkælkjəˌleɪtər
calculators,ˈkælkjəˌleɪtərz
calendar,ˈkæləndər
calendars,ˈkæləndərz
calgary,ˈkælgəri
calibration,ˌkæləˈbreɪʃən
calif,ˈkælɪf
california,ˌkæləˈfɔrnjə
call,kɔl
called,kɔld
calling,ˈkɔlɪŋ
calls,kɔlz
calm,kɑm
calvin,ˈkælvɪn
cam,kæm
cambodia,ˌkæmˈboʊdiə
cambridge,ˈkeɪmbrɪʤ
camcorder,ˈkæmˌkɔrdər
camcorders,ˈkæmˌkɔrdərz
came,keɪm
camel,ˈkæməl
camera,ˈkæmərə
cameras,ˈkæmərəz
cameron,ˈkæmərən
cameroon,ˈkæmərˌun
camp,kæmp
campaign,kæmˈpeɪn
campaigns,kæmˈpeɪnz
campbell,ˈkæmbəl
camping,ˈkæmpɪŋ
camps,kæmps
campus,ˈkæmpəs
cams,cams*
can,kən
canada,ˈkænədə
canadian,kəˈneɪdiən
canal,kəˈnæl
canberra,ˌkænˈbɛrə
cancel,ˈkænsəl
cancellation,ˌkænsəˈleɪʃən
cancelled,ˈkænsəld
cancer,ˈkænsər
candidate,ˈkænədɪt
candidates,ˈkænədɪts
candle,ˈkændəl
candles,ˈkændəlz
candy,ˈkændi
cannon,ˈkænən
canon,ˈkænən
cant,kænt
canvas,ˈkænvəs
canyon,ˈkænjən
cap,kæp
capabilities,ˌkeɪpəˈbɪlətiz
capability,ˌkeɪpəˈbɪləti
capable,ˈkeɪpəbəl
capacity,kəˈpæsɪti
cape,keɪp
capital,ˈkæpɪtəl
capitol,ˈkæpɪtəl
caps,kæps
captain,ˈkæptən
capture,ˈkæpʧər
captured,ˈkæpʧərd
car,kɑr
carb,carb*
carbon,ˈkɑrbən
card,kɑrd
cardiac,ˈkɑrdiˌæk
cardiff,ˈkɑrdɪf
cardiovascular,ˌkɑrdioʊˈvæskjələr
cards,kɑrdz
care,kɛr
career,kərɪr
careers,kərɪrz
careful,ˈkɛrfəl
carefully,ˈkɛrfəli
carey,ˈkɛri
cargo,ˈkɑrˌgoʊ
caribbean,ˌkɛrɪˈbiən
caring,ˈkɛrɪŋ
carl,kɑrl
carlo,ˈkɑrloʊ
carlos,ˈkɑrloʊs
carmen,ˈkɑrmən
carnival,ˈkɑrnəvəl
carol,ˈkɛrəl
carolina,ˌkɛrəˈlaɪnə
caroline,ˈkɛrəˌlaɪn
carpet,ˈkɑrpət
carried,ˈkɛrid
carrier,ˈkɛriər
carriers,ˈkɛriərz
carries,ˈkɛriz
carroll,ˈkɛrəl
carry,ˈkɛri
carrying,ˈkɛriɪŋ
cars,kɑz
cart,kɑrt
carter,ˈkɑrtər
cartoon,kɑrˈtun
cartoons,kɑrˈtunz
cartridge,ˈkɑrtrɪʤ
cartridges,ˈkɑrtrəʤəz
cas,kæs
casa,ˈkɑsə
case,keɪs
cases,ˈkeɪsɪz
casey,ˈkeɪsi
cash,kæʃ
cashiers,ˌkæˈʃɪrz
casino,kəˈsinoʊ
casinos,kəˈsinoʊz
casio,ˈkæsioʊ
cassette,kəˈsɛt
cast,kæst
casting,ˈkæstɪŋ
castle,ˈkæsəl
casual,ˈkæʒəwəl
cat,kæt
catalog,ˈkætəlɔg
catalogs,ˈkætəlɔgz
catalogue,ˈkætəˌlɔg
catalyst,ˈkætəˌlɪst
catch,kæʧ
categories,ˈkætəˌgɔriz
category,ˈkætəˌgɔri
catering,ˈkeɪtərɪŋ
cathedral,kəˈθidrəl
catherine,ˈkæθərɪn
catholic,ˈkæθlɪk
cats,kæts
cattle,ˈkætəl
caught,kɔt
cause,kɔz
caused,kɔzd
causes,ˈkɔzɪz
causing,ˈkɔzɪŋ
caution,ˈkɔʃən
cave,keɪv
cayman,ˈkeɪmən
cb,cb*
cbs,ˈsiˌbiˌɛs
cc,ˈsiˈsi
ccd,ccd*
cd,ˈsiˈdi
cdna,cdna*
cds,ˈsiˈdiz
cdt,cdt*
ce,ce*
cedar,ˈsidər
ceiling,ˈsilɪŋ
celebrate,ˈsɛləˌbreɪt
celebration,ˌsɛləˈbreɪʃən
celebrities,səˈlɛbrɪtiz
celebrity,səˈlɛbrɪti
celebs,səˈlɛbz
cell,sɛl
cells,sɛlz
cellular,ˈsɛljələr
celtic,ˈsɛltɪk
cement,sɪˈmɛnt
cemetery,ˈsɛmɪˌtɛri
census,ˈsɛnsəs
cent,sɛnt
center,ˈsɛnər
centered,ˈsɛntərd
centers,ˈsɛnərz
central,ˈsɛntrəl
centre,ˈsɛntər
centres,ˈsɛntərz
cents,sɛnts
centuries,ˈsɛnʧəriz
century,ˈsɛnʧəri
ceo,ˈsiˌiˈoʊ
ceramic,sərˈæmɪk
ceremony,ˈsɛrəˌmoʊni
certain,ˈsərtən
certainly,ˈsərtənli
certificate,sərˈtɪfɪkət
certificates,sərˈtɪfɪkəts
certification,ˌsərtəfəˈkeɪʃən
certified,ˈsərtəˌfaɪd
cest,cest*
cet,cet*
cf,cf*
cfr,cfr*
cg,cg*
cgi,cgi*
ch,ch*
chad,ʧæd
chain,ʧeɪn
chains,ʧeɪnz
chair,ʧɛr
chairman,ˈʧɛrmən
chairs,ʧɛrz
challenge,ˈʧælənʤ
challenged,ˈʧælənʤd
challenges,ˈʧælənʤɪz
challenging,ˈʧælənʤɪŋ
chamber,ˈʧeɪmbər
chambers,ˈʧeɪmbərz
champagne,ʃæmˈpeɪn
champion,ˈʧæmpiən
champions,ˈʧæmpiənz
championship,ˈʧæmpiənˌʃɪp
championships,ˈʧæmpiənˌʃɪps
chan,ʧæn
chance,ʧæns
chancellor,ˈʧænsələr
chances,ˈʧænsɪz
change,ʧeɪnʤ
changed,ʧeɪnʤd
changelog,changelog*
changes,ˈʧeɪnʤɪz
changing,ˈʧeɪnʤɪŋ
channel,ˈʧænəl
channels,ˈʧænəlz
chaos,keɪɑs
chapel,ˈʧæpəl
chapter,ˈʧæptər
chapters,ˈʧæptərz
char,ʧɑr
character,ˈkɛrɪktər
characteristic,ˌkɛrɪktərˈɪstɪk
characteristics,ˌkɛrɪktərˈɪstɪks
characterization,ˌkɛrɪktərɪˈzeɪʃən
characterized,ˈkɛrɪktərˌaɪzd
characters,ˈkɛrɪktərz
charge,ʧɑrʤ
charged,ʧɑrʤd
charger,ˈʧɑrʤər
chargers,ˈʧɑrʤərz
charges,ˈʧɑrʤɪz
charging,ˈʧɑrʤɪŋ
charitable,ˈʧɛrətəbəl
charity,ˈʧɛrɪti
charles,ˈʧɑrəlz
charleston,ˈʧɑrəlstən
charlie,ˈʧɑrli
charlotte,ˈʃɑrlət
charm,ʧɑrm
charming,ˈʧɑrmɪŋ
charms,ʧɑrmz
chart,ʧɑrt
charter,ˈʧɑrtər
charts,ʧɑrts
chase,ʧeɪs
chassis,ˈʧæsi
chat,ʧæt
cheap,ʧip
cheaper,ˈʧipər
cheapest,ˈʧipəst
cheat,ʧit
cheats,ʧits
check,ʧɛk
checked,ʧɛkt
checking,ˈʧɛkɪŋ
checklist,ˈʧɛˌklɪst
checkout,ˈʧɛˌkaʊt
checks,ʧɛks
cheers,ʧɪrz
cheese,ʧiz
chef,ʃɛf
chelsea,ˈʧɛlsi
chem,kɛm
chemical,ˈkɛmɪkəl
chemicals,ˈkɛmɪkəlz
chemistry,ˈkɛmɪstri
chen,ʧɛn
cheque,ʧɛk
cherry,ˈʧɛri
chess,ʧɛs
chest,ʧɛst
chester,ˈʧɛstər
chevrolet,ˌʃɛvroʊˈleɪ
chevy,ˈʧɛˌvi
chi,kaɪ
chicago,ʃəˈkɑˌgoʊ
chick,ʧɪk
chicken,ˈʧɪkən
chicks,ʧɪks
chief,ʧif
child,ʧaɪld
childhood,ˈʧaɪlˌdhʊd
children,ˈʧɪldrən
childrens,ˈʧɪldrənz
chile,ˈʧɪli
china,ˈʧaɪnə
chinese,ʧaɪˈniz
chip,ʧɪp
chips,ʧɪps
cho,ʧoʊ
chocolate,ˈʧɔklət
choice,ʧɔɪs
choices,ˈʧɔɪsɪz
choir,kwaɪər
cholesterol,kəˈlɛstərˌɔl
choose,ʧuz
choosing,ˈʧuzɪŋ
chorus,ˈkɔrəs
chose,ʧoʊz
chosen,ˈʧoʊzən
chris,krɪs
christ,kraɪst
christian,ˈkrɪsʧɪn
christianity,ˌkrɪsʧiˈænɪti
christians,ˈkrɪsʧɪnz
christina,krɪˈstinə
christine,krɪˈstin
christmas,ˈkrɪsməs
christopher,ˈkrɪstəfər
chrome,kroʊm
chronic,ˈkrɑnɪk
chronicle,ˈkrɑnɪkəl
chronicles,ˈkrɑnɪkəlz
chrysler,ˈkraɪslər
chubby,ˈʧəbi
chuck,ʧək
church,ʧərʧ
churches,ˈʧərʧɪz
ci,ci*
cia,siaɪeɪ
cialis,cialis*
ciao,ʧaʊ
cigarette,ˌsɪgəˈrɛt
cigarettes,ˌsɪgəˈrɛts
cincinnati,ˌsɪnsəˈnæti
cindy,ˈsɪndi
cinema,ˈsɪnəmə
cingular,cingular*
cio,cio*
cir,cir*
circle,ˈsərkəl
circles,ˈsərkəlz
circuit,ˈsərkət
circuits,ˈsərkəts
circular,ˈsərkjələr
circulation,ˈsərkjəˌleɪʃən
circumstances,ˈsərkəmˌstænsɪz
circus,ˈsərkəs
cisco,ˈsɪˌskoʊ
citation,saɪˈteɪʃən
citations,saɪˈteɪʃənz
cite,saɪt
cited,ˈsaɪtɪd
cities,ˈsɪtiz
citizen,ˈsɪtɪzən
citizens,ˈsɪtɪzənz
citizenship,ˈsɪtɪzənˌʃɪp
city,ˈsɪti
citysearch,citysearch*
civic,ˈsɪvɪk
civil,ˈsɪvəl
civilian,səˈvɪljən
civilization,ˌsɪvəlɪˈzeɪʃən
cj,cj*
cl,cl*
claim,kleɪm
claimed,kleɪmd
claims,kleɪmz
claire,klɛr
clan,klæn
clara,ˈklɛrə
clarity,ˈklɛrɪti
clark,klɑrk
clarke,klɑrk
class,klæs
classes,ˈklæsɪz
classic,ˈklæsɪk
classical,ˈklæsɪkəl
classics,ˈklæsɪks
classification,ˌklæsəfəˈkeɪʃən
classified,ˈklæsəˌfaɪd
classifieds,classifieds*
classroom,ˈklæsˌrum
clause,klɔz
clay,kleɪ
clean,klin
cleaner,ˈklinər
cleaners,ˈklinərz
cleaning,ˈklinɪŋ
cleanup,ˈkliˌnəp
clear,klɪr
clearance,ˈklɪrəns
cleared,klɪrd
clearing,ˈklɪrɪŋ
clearly,ˈklɪrli
clerk,klərk
cleveland,ˈklivlənd
click,klɪk
clicking,ˈklɪkɪŋ
clicks,klɪks
client,klaɪənt
clients,klaɪənts
cliff,klɪf
climate,ˈklaɪmɪt
climb,klaɪm
climbing,ˈklaɪmɪŋ
clinic,ˈklɪnɪk
clinical,ˈklɪnɪkəl
clinics,ˈklɪnɪks
clinton,ˈklɪntən
clip,klɪp
clips,klɪps
clock,klɑk
clocks,klɑks
clone,kloʊn
close,kloʊz
closed,kloʊzd
closely,ˈkloʊsli
closer,ˈkloʊzər
closes,ˈkloʊzɪz
closest,ˈkloʊsəst
closing,ˈkloʊzɪŋ
closure,ˈkloʊʒər
cloth,klɔθ
clothes,kloʊðz
clothing,ˈkloʊðɪŋ
cloud,klaʊd
clouds,klaʊdz
cloudy,ˈklaʊdi
club,kləb
clubs,kləbz
cluster,ˈkləstər
clusters,ˈkləstərz
cm,cm*
cms,cms*
cn,cn*
cnet,cnet*
cnetcom,cnetcom*
cnn,ˈsiˈɛˈnɛn
co,koʊ
coach,koʊʧ
coaches,ˈkoʊʧɪz
coaching,ˈkoʊʧɪŋ
coal,koʊl
coalition,ˌkoʊəˈlɪʃən
coast,koʊst
coastal,ˈkoʊstəl
coat,koʊt
coated,ˈkoʊtɪd
coating,ˈkoʊtɪŋ
cock,kɑk
cocks,kɑks
cod,ˈsiˈoʊˈdi
code,koʊd
codes,koʊdz
coding,ˈkoʊdɪŋ
coffee,ˈkɔfi
cognitive,ˈkɑgnɪtɪv
cohen,koʊən
coin,kɔɪn
coins,kɔɪnz
col,col*
cold,koʊld
cole,koʊl
coleman,ˈkoʊlmən
colin,ˈkoʊlɪn
collaboration,kəˌlæbərˈeɪʃən
collaborative,kəˈlæbərˌeɪtɪv
collapse,kəˈlæps
collar,ˈkɑlər
colleague,ˈkɑlig
colleagues,ˈkɑligz
collect,kəˈlɛkt
collectables,collectables*
collected,kəˈlɛktəd
collectible,kəˈlɛktəbəl
collectibles,kəˈlɛktəbəlz
collecting,kəˈlɛktɪŋ
collection,kəˈlɛkʃən
collections,kəˈlɛkʃənz
collective,kəˈlɛktɪv
collector,kəˈlɛktər
collectors,kəˈlɛktərz
college,ˈkɑlɪʤ
colleges,ˈkɑlɪʤɪz
collins,ˈkɑlɪnz
cologne,kəˈloʊn
colombia,kəˈləmbiə
colon,ˈkoʊlən
colonial,kəˈloʊniəl
colony,ˈkɑləni
color,ˈkələr
colorado,ˌkɑlərˈɑdoʊ
colored,ˈkələrd
colors,ˈkələrz
colour,ˈkələr
colours,colours*
columbia,kəˈləmbiə
columbus,kəˈləmbəs
column,ˈkɑləm
columnists,ˈkɑləmnəsts
columns,ˈkɑləmz
com,kɑm
combat,ˈkɑmbæt
combination,ˌkɑmbəˈneɪʃən
combinations,ˌkɑmbəˈneɪʃənz
combine,ˈkɑmbaɪn
combined,kəmˈbaɪnd
combines,kəmˈbaɪnz
combining,kəmˈbaɪnɪŋ
combo,ˈkɑmˌboʊ
come,kəm
comedy,ˈkɑmədi
comes,kəmz
comfort,ˈkəmfərt
comfortable,ˈkəmfərtəbəl
comic,ˈkɑmɪk
comics,ˈkɑmɪks
coming,ˈkəmɪŋ
comm,kɑm
command,kəˈmænd
commander,kəˈmændər
commands,kəˈmændz
comment,ˈkɑmɛnt
commentary,ˈkɑmənˌtɛri
commented,ˈkɑmɛntəd
comments,ˈkɑmɛnts
commerce,ˈkɑmərs
commercial,kəˈmərʃəl
commission,kəˈmɪʃən
commissioner,kəˈmɪʃənər
commissioners,kəˈmɪʃənərz
commissions,kəˈmɪʃənz
commit,kəˈmɪt
commitment,kəˈmɪtmənt
commitments,kəˈmɪtmənts
committed,kəˈmɪtɪd
committee,kəˈmɪti
committees,kəˈmɪtiz
commodities,kəˈmɑdətiz
commodity,kəˈmɑdəti
common,ˈkɑmən
commonly,ˈkɑmənli
commons,ˈkɑmənz
commonwealth,ˈkɑmənˌwɛlθ
communicate,kəmˈjunəˌkeɪt
communication,kəmˌjunəˈkeɪʃən
communications,kəmˌjunəˈkeɪʃənz
communist,ˈkɑmjənəst
communities,kəmˈjunɪtiz
community,kəmˈjunɪti
comp,kɑmp
compact,ˈkɑmpækt
companies,ˈkəmpəˌniz
companion,kəmˈpænjən
company,ˈkəmpəˌni
compaq,ˈkɑmˌpæk
comparable,ˈkɑmprəbəl
comparative,kəmˈpærətɪv
compare,kəmˈpɛr
compared,kəmˈpɛrd
comparing,kəmˈpɛrɪŋ
comparison,kəmˈpɛrəsən
comparisons,kəmˈpɛrəsənz
compatibility,kəmˌpætəˈbɪləˌti
compatible,kəmˈpætəbəl
compensation,ˌkɑmpənˈseɪʃən
compete,kəmˈpit
competent,ˈkɑmpətɪnt
competing,kəmˈpitɪŋ
competition,ˌkɑmpəˈtɪʃən
competitions,ˌkɑmpəˈtɪʃənz
competitive,kəmˈpɛtɪtɪv
competitors,kəmˈpɛtɪtərz
compilation,ˌkɑmpəˈleɪʃən
compile,kəmˈpaɪl
compiled,kəmˈpaɪld
compiler,kəmˈpaɪlər
complaint,kəmˈpleɪnt
complaints,kəmˈpleɪnts
complement,ˈkɑmpləmənt
complete,kəmˈplit
completed,kəmˈplitɪd
completely,kəmˈplitli
completing,kəmˈplitɪŋ
completion,kəmˈpliʃən
complex,ˈkɑmplɛks
complexity,kəmˈplɛksɪti
compliance,kəmˈplaɪəns
compliant,kəmˈplaɪənt
complicated,ˈkɑmpləˌkeɪtəd
complications,ˌkɑmpləˈkeɪʃənz
complimentary,ˌkɑmpləˈmɛntəri
comply,kəmˈplaɪ
component,kəmˈpoʊnənt
components,kəmˈpoʊnənts
composed,kəmˈpoʊzd
composer,kəmˈpoʊzər
composite,kəmˈpɑzət
composition,ˌkɑmpəˈzɪʃən
compound,ˈkɑmpaʊnd
compounds,ˈkɑmpaʊndz
comprehensive,ˌkɑmpriˈhɛnsɪv
compressed,kəmˈprɛst
compression,kəmˈprɛʃən
compromise,ˈkɑmprəˌmaɪz
computation,ˌkɑmpjəˈteɪʃən
computational,ˌkɑmpjuˈteɪʃənəl
compute,kəmˈpjut
computed,kəmˈpjutɪd
computer,kəmˈpjutər
computers,kəmˈpjutərz
computing,kəmˈpjutɪŋ
con,kɑn
concentrate,ˈkɑnsənˌtreɪt
concentration,ˌkɑnsənˈtreɪʃən
concentrations,ˌkɑnsənˈtreɪʃənz
concept,ˈkɑnsɛpt
concepts,ˈkɑnsɛpts
conceptual,kənˈsɛpʧuəl
concern,kənˈsərn
concerned,kənˈsərnd
concerning,kənˈsərnɪŋ
concerns,kənˈsərnz
concert,ˈkɑnsərt
concerts,ˈkɑnsərts
conclude,kənˈklud
concluded,kənˈkludɪd
conclusion,kənˈkluʒən
conclusions,kənˈkluʒənz
concord,ˈkɑnˌkɔrd
concrete,ˈkɑnkrit
condition,kənˈdɪʃən
conditional,kənˈdɪʃənəl
conditioning,kənˈdɪʃənɪŋ
conditions,kənˈdɪʃənz
condo,ˈkɑndoʊ
condos,ˈkɑndoʊz
conduct,ˈkɑndəkt
conducted,kənˈdəktəd
conducting,kənˈdəktɪŋ
conf,conf*
conference,ˈkɑnfərəns
conferences,ˈkɑnfərənsəz
conferencing,ˈkɑnfrənsɪŋ
confidence,ˈkɑnfədɛns
confident,ˈkɑnfədənt
confidential,ˌkɑnfəˈdɛnʃəl
confidentiality,ˌkɑnfəˌdɛnʃiˈæləti
config,config*
configuration,kənˌfɪgjərˈeɪʃən
configure,kənˈfɪgjər
configured,kənˈfɪgjərd
configuring,kənˈfɪgjərɪŋ
confirm,kənˈfərm
confirmation,ˌkɑnfərˈmeɪʃən
confirmed,kənˈfərmd
conflict,ˈkɑnflɪkt
conflicts,ˈkɑnflɪkts
confused,kənfˈjuzd
confusion,kənfˈjuʒən
congo,ˈkɑŋgoʊ
congratulations,kənˌgræʧəˈleɪʃənz
congress,ˈkɑŋgrəs
congressional,kənˈgrɛʃənəl
conjunction,kənˈʤəŋkʃən
connect,kəˈnɛkt
connected,kəˈnɛktɪd
connecticut,kəˈnɛtəkət
connecting,kəˈnɛktɪŋ
connection,kəˈnɛkʃən
connections,kəˈnɛkʃənz
connectivity,kənɛkˈtɪvɪti
connector,kəˈnɛktər
connectors,kəˈnɛktərz
cons,kɑnz
conscious,ˈkɑnʃəs
consciousness,ˈkɑnʃəsnəs
consecutive,kənˈsɛkjətɪv
consensus,kənˈsɛnsəs
consent,kənˈsɛnt
consequence,ˈkɑnsəkwəns
consequences,ˈkɑnsəkˌwɛnsəz
consequently,ˈkɑnsəkˌwɛntli
conservation,ˌkɑnsərˈveɪʃən
conservative,kənˈsərvətɪv
consider,kənˈsɪdər
considerable,kənˈsɪdərəbəl
consideration,kənˌsɪdərˈeɪʃən
considerations,kənˌsɪdərˈeɪʃənz
considered,kənˈsɪdərd
considering,kənˈsɪdərɪŋ
considers,kənˈsɪdərz
consist,kənˈsɪst
consistency,kənˈsɪstənsi
consistent,kənˈsɪstənt
consistently,kənˈsɪstəntli
consisting,kənˈsɪstɪŋ
consists,kənˈsɪsts
console,ˈkɑnsoʊl
consoles,kənˈsoʊlz
consolidated,kənˈsɑləˌdeɪtəd
consolidation,kənˌsɑləˈdeɪʃən
consortium,kənˈsɔrʃjəm
conspiracy,kənˈspɪrəsi
const,const*
constant,ˈkɑnstənt
constantly,ˈkɑnstəntli
constitute,ˈkɑnstəˌtut
constitutes,ˈkɑnstəˌtuts
constitution,ˌkɑnstəˈtuʃən
constitutional,ˌkɑnstəˈtuʃənəl
constraint,kənˈstreɪnt
constraints,kənˈstreɪnts
construct,ˈkɑnstrəkt
constructed,kənˈstrəktɪd
construction,kənˈstrəkʃən
consult,kənˈsəlt
consultancy,kənˈsəltənsi
consultant,kənˈsəltənt
consultants,kənˈsəltənts
consultation,ˌkɑnsəlˈteɪʃən
consulting,kənˈsəltɪŋ
consumer,kənˈsumər
consumers,kənˈsumərz
consumption,kənˈsəmʃən
contact,ˈkɑnˌtækt
contacted,ˈkɑnˌtæktɪd
contacting,ˈkɑnˌtæktɪŋ
contacts,ˈkɑnˌtækts
contain,kənˈteɪn
contained,kənˈteɪnd
container,kənˈteɪnər
containers,kənˈteɪnərz
containing,kənˈteɪnɪŋ
contains,kənˈteɪnz
contamination,kənˌtæməˈneɪʃən
contemporary,kənˈtɛmpərˌɛri
content,ˈkɑntɛnt
contents,ˈkɑntɛnts
contest,ˈkɑntɛst
contests,ˈkɑntɛsts
context,ˈkɑntɛkst
continent,ˈkɑntənənt
continental,ˌkɑntəˈnɛnəl
continually,kənˈtɪnjuəli
continue,kənˈtɪnju
continued,kənˈtɪnjud
continues,kənˈtɪnjuz
continuing,kənˈtɪnjuɪŋ
continuity,ˌkɑntəˈnuəti
continuous,kənˈtɪnjuəs
continuously,kənˈtɪnjuəsli
contract,ˈkɑnˌtrækt
contracting,ˈkɑntræktɪŋ
contractor,ˈkɑnˌtræktər
contractors,ˈkɑnˌtræktərz
contracts,ˈkɑnˌtrækts
contrary,ˈkɑntrɛri
contrast,ˈkɑntræst
contribute,kənˈtrɪbjut
contributed,kənˈtrɪbjutɪd
contributing,kənˈtrɪbjutɪŋ
contribution,ˌkɑntrəˈbjuʃən
contributions,ˌkɑntrəˈbjuʃənz
contributor,kənˈtrɪbjətər
contributors,kənˈtrɪbjətərz
control,kənˈtroʊl
controlled,kənˈtroʊld
controller,kənˈtroʊlər
controllers,kənˈtroʊlərz
controlling,kənˈtroʊlɪŋ
controls,kənˈtroʊlz
controversial,ˌkɑntrəˈvərʃəl
controversy,ˈkɑntrəˌvərsi
convenience,kənˈvinjəns
convenient,kənˈvinjənt
convention,kənˈvɛnʃən
